  55Station                 Sta           Sta   Sta         BUC                                 
  56Suites                  Stes          Stes  Stes        BUR                                 
  57Towers                  Twrs          Twrs  Twrs        BUR                                 
  58Townhouse               TNHS          TNHS  TNHS        BUR                                 
  59Trailer Park            Trpk          Trpk  Trpk        BUR                                 
  60Villa                   Vlla          VLLA  VLLA        BUC                                 
  61Village                 Vlg           Vlg   Vlg         BUC                                 
  63Estates                 Ests          ESTS  ESTS        BUC                                 
  64College                 Coll          Coll  Coll        BUC                              
  66Projects                Proj          Proj  Proj        BUR  
  67Resort                  Rsrt          Rsrt  Rsrt        BUR  
  68University              Univ          Univ  Univ        BUR                      
  69MARINE BERTH            MB            MB    MB          BUC
  70FARM                    Farm          Farm  Farm        BUR  
  71Hyperdome               Hyperdome     HDOM  HDOM        BU
  72Barrack                 Barrack       BRAK  BRAK        BU   
  73Property                Prop          PROP  PROP        BU  
  74Homestead               HSTEAD        HSTD  HSTD        BU   
  75Nursing home            Nursing Home  Nrsh  Nrsh        BU
  76Village App             Vlg App       VGAP  VGAP        BU
  77Lot                     LOT           LOT   LOT         BU                    
   1North                   N             N     N           DRRU                                
   2South                   S             S     S           DRRU                                
   3East                    E             E     E           DRRU                                
   4West                    W             W     W           DRRU                                
   5Northeast               NE            NE    NE          DRRU                                
   6Northwest               NW            NW    NW          DRRU                                
   7Southeast               SE            SE    SE          DRRU                                
   8Southwest               SW            SW    SW          DRRU 
   9Lower                   LWR           LWR   LWR         DR 
  10Upper                   UP            UP    UP          DR 
  11Central                 CN            CN    CN          DR                             
   1Care Of                 C/o           C/o   C/o         EIR                                 
   1Extended                Extd          Ext   Extd        EXR                                 
   2Extension               Extn          Ext   Extn        EXR                                 
   3Loop                    Lp            Lp    Lp          EXR                                 
   4Bypass                  Byp           Byp   Byp         EXR                                 
   5Alternate               Alt           Alt   Alt         EXR                                 
   6Business                Bus           Bus   Bus         EXR                                 
   7Old                     Old           Old   Old         EXR                                 
   8Spur                    Spur          Spur  Spur        EXR                                 
   11/2                     1/2           1/2   1/2         FCR                                 
   21/4                     1/4           1/4   1/4         FCR                                 
   33/4                     3/4           3/4   3/4         FCR                                 
   43/8                     3/8           3/8   3/8         FCR                                 
   51/3                     1/3           1/3   1/3         FCR                                 
   11St                     1St           1St   1St         OTR                                 
   22Nd                     2Nd           2Nd   2Nd         OTR                                 
   33Rd                     3Rd           3Rd   3Rd         OTR                                 
   44Th                     4Th           4Th   4Th         OTR 
   55Th                     5th           5th   5th         OTR                                
   1Box                     Box           Bx    BX          BXR                                 
   2General Delivery        GenDel        Gndl  Gndl        BXR                                 
   3Post Office Box         PO Box        Bx    Bx          BXR                             
   4Roadside Mail Box       RMB           Rmb   Rmb         BXR                              
   5GPO BOX                 GPO BOX       GPO   GPO         BXR                              
   6RSD                     RSD           RSD   RSD         BXR                             
   7LOCKED BAG              Locked Bag    LocB  LocB        BXR                                 
   8PRIVATE BAG             Private Bag   PBag  Pbag        BXR                                 
   9CARE PO                 Care Po       CaPo  CaPo        BXR                               
  10Community Mail Agent    CMA           Cma   Cma         BXR                                 
  11Roadside Delivery       RMS           Rms   Rms         BXR                                 
  12PMB                     PMB           Pmb   Pmb         BXR                         
  13Community Mail bag      CMB           CMB   CMB         BXR                         
  14Community Postal Agent  CPA           CPA   CPA         BXR                         
  15Mail Service            MS            MS    MS          BXR 
  16RA                      RA            RA    RA          BX                           
   1Route                   Rt            Rt    RR          RRR                                 
   2Rural Route             RR            RR    RR          RRR                                 
   3Highway Contract Route  HCR           HC    HC          RRR                                 
   4Star Route              SR            SR    HC          RRR                                 
   5PSC                     PSC           PS    PS          RRR                                 
   1Basement                Bsmt          B     B           WIR                                 
   2Floor                   Floor         FL    FL          WIR                                 
   3Interior                Inte          Inte  Inte        WIR                                 
   4Rear                    Rear          Rear  Back        WIR                                 
   5Side                    Side          Side  Side        WIR                                 
   6Bottom                  Bottom        Botm  Botm        WIR                                 
   7Middle                  Middle        Midl  Midl        WIR                                 
   8Top                     Top           Top   Top         WIR                                 
   9Lower                   Lowr          Lowr  Lowr        WIR                                 
  10Upper                   UP            UP    UP          WIR                                 
  11Front                   Frnt          Frnt  Frnt        WIR                                 
  12Office                  Off           Off   Off         WIR                                 
