   1Care Of                 C/o           C/o   C/o         EIR                                 
   1Extended                Extd          Ext   Extd        EXR                                 
   2Extension               Extn          Ext   Extn        EXR                                 
   3Loop                    Lp            Lp    Lp          EXR                                 
   4Bypass                  Byp           Byp   Byp         EXR                                 
   5Alternate               Alt           Alt   Alt         EXR                                 
   6Business                Bus           Bus   Bus         EXR                                 
   7Old                     Old           Old   Old         EXR                                 
   8Spur                    Spur          Spur  Spur        EXR                                 
   11/2                     1/2           1/2   1/2         FCR                                 
   21/4                     1/4           1/4   1/4         FCR                                 
   33/4                     3/4           3/4   3/4         FCR                                 
   43/8                     3/8           3/8   3/8         FCR                                 
   51/3                     1/3           1/3   1/3         FCR                                 
   11St                     1St           1St   1St         OTR                                 
   22Nd                     2Nd           2Nd   2Nd         OTR                                 
   33Rd                     3Rd           3Rd   3Rd         OTR                                 
   44Th                     4Th           4Th   4Th         OTR 
   55Th                     5th           5th   5th         OTR                                
   1Box                     Box           Bx    Bx          BXR                                 
   2General Delivery        GenDel        Gndl  Gndl        BXR                                 
   3Post Office Box         PO Box        Bx    Bx          BXR                             
   5GPO BOX                 GPO           GPO   GPO         BXR                              
  12PMB                     PMB           Pmb   Pmb         BXR                               
   1Route                   Rt            Rt    RR          RRR                                 
   2Rural Route             RR            RR    RR          RRR                                 
   3Highway Contract Route  HCR           HC    HC          RRR                                 
   4Star Route              SR            SR    HC          RRR                                 
   5PSC                     PSC           PS    PS          RRR                                 
   1Basement                Bsmt          Bsmt  Bsmt        WIR                                 
   2Floor                   Floor         Flr   Fl          WIR                                 
   3Interior                Inte          Inte  Inte        WIR                                 
   4Rear                    Rear          Rear  Back        WIR                                 
   5Side                    Side          Side  Side        WIR                                 
   6Bottom                  Bottom        Botm  Botm        WIR                                 
   7Middle                  Middle        Midl  Midl        WIR                                 
   8Top                     Top           Top   Top         WIR                                 
   9Lower                   Lowr          Lowr  Lowr        WIR                                 
  10Upper                   Uppr          Uppr  Uppr        WIR                                 
  11Front                   Frnt          Frnt  Frnt        WIR                                 
  12Office                  Ofc           Ofc   Ofc         WIR                                 
  13Level                   Lvl           Lvl   Lvl         WIR                                 
  14Down                    Down          Down  Down        WIR                                 
  15Up                      Up            Up    Uppr        WIR                                 
  16Penthouse               PH            PH    PH          WIR                                 
  17Upstairs                Uppr          Uppr  Uppr        WIR                                 
  18Downstairs              Down          Down  Down        WIR                                 
  19Right                   Right         Rght  Rght        WIR                                 
  20Left                    Left          Left  Left        WIR                                 
  21Lobby                   Lobby         Lbby  Lbby        WIR                                 
   1A La Derecha            Ald           Ald   Ald         WDR                                 
   2Altos                   Alto          Alto  Alto        WDR                                 
   3Apartment               Apt           Apt   Apt         WDR                                 
   4Bajos                   Bajo          Bajo  Bajo        WDR                                 
   5Derecho                 Dere          Dere  Dere        WDR                                 
   6Izquierdo               Izqu          Izqu  Izqu        WDR                                 
   8Lot                     Lot           Lot   Lot         WDR                                 
   9Parcelas                Par           Par   Par         WDR                                 
  10Piso                    Piso          Piso  Piso        WDR                                 
  11Room                    Room          Room  Rm          WDR                                 
  12Sotano                  Sota          Sota  Sota        WDR                                 
  13Space                   Space         Space Sp          WDR                                 
  14Stall                   Stall         Stall Stll        WDR                                 
  15Store                   Store         Store Stor        WDR                                 
  16Studio                  Studio        Stud  Stud        WDR                                 
  17Suite                   Ste           Ste   Ste         WDR                                 
